itemId,title,conditionId,condition,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.country,topRatedBuyingExperience,priorityListing,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,club,country,year,additional_image_count,title_length,discount_flag,condition_desc,top_club,top_country,Messi
v1|177026400928|476801059546,"Japan Soccer Jersey Special One Piece Luffy Cartoon Anime Edition S,M,L,XL,XXL",1000,New,49.99,USD,moh_k40,100.0,823,US,False,False,,,0.0,92,2891,Soccer-National Teams,21,,,,14,78,False,1000 - New,False,False,False
v1|176754093349|0,ATLAS  94/95 Home- Retro - Soccer - R. MARQUEZ # 4 - XL (USA-Large) Reg Fit,1000,New,80.0,USD,athletic-store,98.6,635,US,False,False,,,0.0,209,2887,Soccer-International Clubs,11,,USA,1995.0,8,75,False,1000 - New,False,True,False
v1|197201469234|496707811836,JERSEY Olympiacos Away 2004-05 Retro Men,1000,New,28.98,USD,reius-edwyme,98.5,193,NZ,False,False,,,7.0,99,2887,Soccer-International Clubs,4,,,2005.0,1,40,False,1000 - New,False,False,False
v1|152083113893|451654077629,PERU  New Arza Soccer Jersey White/Red Slim Fit 100% Polyester,1000,New,29.99,USD,clubpasionsoccer_usa,96.5,3901,US,False,False,,,0.0,3360,2887,Soccer-International Clubs,9,,,,4,62,False,1000 - New,False,False,False
v1|365702803871|0,New Real Madrid Club World Cup Jersey Sz XL Slim Fit Fits A Large #5 Bellingham,1000,New,59.99,USD,chgar1120,98.4,119,US,False,False,,,0.0,20,2887,Soccer-International Clubs,3,Real Madrid,,,4,79,False,1000 - New,True,False,False
v1|197486652488|496818807989,Adidas Men Tiro 24 Pro Goalkeeper Shirts Soccer Black GK Football Jersey IN0423,1000,New with tags,58.0,USD,gully_82,100.0,474,CL,False,False,,,28.0,20,123490,Men,4,,,,11,79,False,1000 - New with tags,False,False,False
v1|388567751364|655678359083,Real Madrid 2014/2015 UCL Final Home jersey Long Sleeve Cristiano Ronaldo #7,1000,New,72.97,USD,saja8370,100.0,22,FR,False,True,,,0.0,39,2887,Soccer-International Clubs,5,Real Madrid,,2015.0,4,76,False,1000 - New,True,False,False
v1|205585756605|0,"Real Madrid Final Milano Jersey, Cristiano Ronaldo Size L",1000,New,52.79,USD,steph01291978,100.0,484,US,False,True,,,0.0,23,2887,Soccer-International Clubs,8,Real Madrid,,,7,57,False,1000 - New,True,False,False
v1|388436646938|0,"Manchester United Vintage Black Jersey 2007 Cristiano Ronaldo, Size M",1000,New,40.0,USD,keacham83,100.0,33,US,False,True,,,0.0,63,2887,Soccer-International Clubs,5,Manchester United,,2007.0,1,69,False,1000 - New,True,False,False
v1|167628356038|0,New Totti AS Roma Soccer Team New Men's Retro Diadora Soccer Jersey - L,1000,New,50.0,USD,anyrare.store,98.3,361,US,False,True,,,0.0,51,2887,Soccer-International Clubs,8,,,,4,71,False,1000 - New,False,False,False
