position,title,asin,is_prime,rating,ratings_total,sponsored,coupon,lego_theme,age_rec,recent_sales_num,price_value,price_list_price,price_name,stock_info,has_coupon,top_theme,discount$,discount%
12,"LEGO Technic Oracle Red Bull Racing RB20 F1 Race Car Model Kit - Building Set for Adults, Ages 18+ with Realistic Features - Gift for Groom, Groomsmen - 42206",B0DJ1BZD97,False,4.8,28.0,False,,Technic,18.0,700.0,229.95,,,None,False,True,0.0,0.0
13,"LEGO NINJAGO The Guardian Dragon - Model Building Kit from Legends Monstrosity Series - Room Decor for Teens - Includes Master Wu Minifigure - Gift for Teenage Boys, Girls, and Fans, Ages 14+ - 71847",B0DRW7NG1L,False,4.7,22.0,False,,NINJAGO,14.0,700.0,149.99,,,None,False,True,0.0,0.0
14,LEGO Architecture London Skyline Collection 21034 Building Set Model Kit and Gift for Kids and Adults (468 pieces),B01KJENN0U,False,4.8,13187.0,False,,Architecture,None,4000.0,25.59,39.99,Primary,None,False,True,14.4,0.36
15,"LEGO Star Wars R2-D2 Building Toy Set - Play or Display Star Wars Toy for Boys & Girls, Ages 10+ - Gift Ideas for Kids & Fans - Includes 25th Anniversary Darth Malak Minifigure - 75379",B0CGY22J6Y,False,4.9,1137.0,False,,Star Wars,10.0,7000.0,79.99,99.99,Primary,None,False,True,20.0,0.2
16,"LEGO Star Wars R2-D2 Building Set - Collectible 3D Puzzle for Adults, Ages 18+ - Display for Room or Office Desk - Info Plaque Included - Gift Idea for Fans - 75308",B08STSYGLS,False,4.8,3067.0,False,,Star Wars,18.0,1000.0,229.95,,,None,False,True,0.0,0.0
17,"LEGO Classic Medium Creative Brick Box 10696 Building Toy Set - Featuring Storage, Includes Train, Car, and a Tiger Figure, and Playset for Kids, Boys, and Girls Ages 4-99",B00NHQFA1I,False,4.8,52779.0,False,,Classic,4.0,20000.0,15.29,34.99,Primary,None,False,True,19.7,0.56
22,"LEGO Icons The Lord of The Rings: Balrog Book Nook Kit - DIY Craft Building Set for Adults, 18+ - Collectible Gandalf Minifigure - Gift Idea for Birthdays - Home or Room Decor - 10367",B0DRW56MKL,False,4.8,27.0,False,,Other,None,1000.0,129.99,,,None,False,False,0.0,0.0
23,"LEGO Technic NASA Apollo Lunar Roving Vehicle LRV Building Set - Collectible Set for Adults, Ages 18+ - Model Kit of Space Rover W/Authentic Details - Gift for Men & Women - 42182",B0CRWHZ2XG,False,4.8,61.0,False,,Technic,18.0,2000.0,219.95,,,None,False,True,0.0,0.0
24,"LEGO Botanicals Tiny Plants - Artificial, Fake Indoor Plant Building Set for Home, Kitchen, Desk Decoration, Adults Ages 18+ - Gift for Graduation - 10329",B0CDCL6Y5T,False,4.9,4545.0,False,,Botanicals,18.0,6000.0,39.99,49.99,Primary,None,False,True,10.0,0.2
25,"LEGO Star Wars Millennium Falcon A New Hope 25th Anniversary Collectable Model - DIY Building Sets for Adults, Men & Women, Ages 18+ - Comes with Display Stand - Star Wars Gift - 75375",B0CGY3ZB24,False,4.9,1357.0,False,,Star Wars,18.0,7000.0,67.98,84.99,Primary,None,False,True,17.01,0.2
