itemId,title,conditionId,condition,price.value,price.currency,seller.username,seller.feedbackPercentage,seller.feedbackScore,itemLocation.country,marketingPrice.originalPrice.value,marketingPrice.discountPercentage,shipping_cost,days_listed,category_id,category_name,seller_item_count,club,country,year_single
v1|146697762128|445344610581,(4 colors ) Mexico 2025/26 Black Special Souvenir  Long Sleeve Player Jersey,1000,New,55.99,USD,xunbo12,83.3,8,TW,69.99,20,0.0,3,2891,Soccer-National Teams,10,,Mexico,2025.0
v1|297423526663|594890254522,Ecuador National Soccer Team Yellow Jersey World Cup Centenario 2026,1000,New,59.99,USD,bez061722,99.3,2817,US,,,0.0,23,2891,Soccer-National Teams,4,,,2026.0
v1|286694342368|588719179353,Mexico Soccer Jersey Home / Away Sizes S - M - L - XL - 2XL,1000,New with tags,19.99,USD,waooparty,91.9,177,US,,,,170,123490,Men,1,,Mexico,
v1|226755940154|525917370002,Arsenal 2005-06 Home Jersey – Thierry Henry #14 – Highbury Final Season Kit,1000,New,65.34,USD,orapuyb-0,100.0,15,TH,,,0.0,57,2887,Soccer-International Clubs,3,Arsenal,,2005.0
v1|326679398340|0,Vintage 2003-05 IRELAND Soccer Jersey Mens XL Eircom Umbro Football Shirt,3000,Used,54.88,USD,uzielpineda4,99.6,2174,US,,,7.95,0,2891,Soccer-National Teams,1,,,2003.0
v1|286602700583|588649878668,JERSEY ATLAS Home Retro in 1998-99,1000,New,28.99,USD,pabl_payt,98.5,1170,NZ,,,7.0,45,2887,Soccer-International Clubs,7,,,
v1|286380383238|588490934193,JERSEY Ghana National Soccer Away 2024-25,1000,New,30.99,USD,blak.gonz,98.3,1029,NZ,,,6.8,130,2887,Soccer-International Clubs,10,,,2024.0
v1|365726091271|0,Ronaldo #7 Real Madrid 2014/2015 UCL Long Sleeve Black Jersey Dragon L,,Unspecified,60.00,USD,mascitti,100.0,103,US,,,,1,2887,Soccer-International Clubs,1,Real Madrid,,2015.0
v1|405159099224|675251984539,2006-2007 Liverpool Steven Gerrard #8 Home Short Sleeve Football Shirt,1000,New,70.00,USD,gregoria_778,100.0,21,PH,,,0.0,335,2887,Soccer-International Clubs,1,Liverpool,,2007.0
v1|286073787967|588176578237,JERSEY Botafogo HOME 2024 LS,1000,New,38.99,USD,jefjenk-89,98.5,534,NZ,,,7.0,292,2887,Soccer-International Clubs,4,,,2024.0
v1|317036346482|615476044415,Boca Junior 2025 120th Anniversary Edition,1000,New,45.00,USD,iri4147,97.7,47,US,,,0.0,14,2887,Soccer-International Clubs,27,,,2025.0
v1|317070780529|0,Real Madrid Baseball Style Jersey Limited Edition,1000,New,65.00,USD,marcegalvi0,97.7,251,US,,,,2,2887,Soccer-International Clubs,1,Real Madrid,,
v1|177077452518|476774245426,Japan Soccer Jersey Anime Goku #10 Dragon Ball Concept Edition Kids/Youth Jersey,1000,New,49.99,USD,moh_k40,100.0,821,US,,,0.0,65,2891,Soccer-National Teams,21,,,
v1|186320149289|694368423524,CONCACAF CHAMPIONS CUP PATCH BADGE JERSEY PARCHE DE COPA DE CAMPEONES CONCACAF,1000,New,9.99,USD,kalimanpatches,99.6,3586,US,,,0.0,499,2891,Soccer-National Teams,5,,,
v1|277259069948|0,2014 World Cup Mexico Home Jersey Long Sleeve #14 Chicharito - Size Large,,Unspecified,84.95,USD,luisjs7,100.0,223,US,,,4.95,144,2891,Soccer-National Teams,6,,Mexico,2014.0
v1|376366241249|645011662351,JERSEY FC Shakhtar Donetsk Mens Home 2025-26,1000,New,28.98,USD,pete-7785,100.0,14,NZ,,,7.0,16,2887,Soccer-International Clubs,8,,,2025.0
v1|196472696148|0,Ronaldo #7 Portugal Jersey And Shorts. Adult Medium. Brand New With Tags.,1000,New,59.99,USD,soccermom851,98.9,187,US,,,15.0,378,2891,Soccer-National Teams,4,,,
v1|357242709387|625976542037,Ronaldinho #80 AC Milan UCL Home R10 Retro Jersey,1000,New,61.97,USD,danf_7171,100.0,31,US,,,7.15,5,2887,Soccer-International Clubs,7,,,
v1|226312327476|525501599591, Atletico Mineiro Jersey Map Design   113º Anniversary 2021/2022 ,1000,New with tags,55.00,USD,manyacapo1891,100.0,567,US,,,0.0,573,123490,Men,5,,,2022.0
v1|277259188875|0,Adidas Mexico Gold Authentic Soccer Jersey - $150 ~ Men's Small JF2639,1000,New,102.95,USD,running_am0k,100.0,1650,US,,,5.1,12,2891,Soccer-National Teams,1,,Mexico,
v1|157125762805|458637355090,Mexico 2025/26 Green Special Souvenir  Jersey  PLAYER VERSION ALL SIZES,1000,New,44.99,USD,jeansandshirtsforever,95.8,1092,US,,,0.0,17,2891,Soccer-National Teams,14,,Mexico,2025.0
v1|165126865232|464681499309,Icon Sports Manchester City FC Jersey Men's Sky Blue Licensed Football Kit,1000,New,18.95,USD,dynami70,98.5,2019,US,,,5.95,1368,2887,Soccer-International Clubs,8,Manchester City,,
v1|157164873157|0,Adidas Spain Jersey 2008 Fernando Torres Sz l ,3000,Used,45.00,USD,bdmino,100.0,1068,US,,,,0,2891,Soccer-National Teams,1,,Spain,2008.0
v1|176877998424|476601428512,"Ft. Lauderdale Strikers -  George Best soccer jersey Retro shirt, 1980 jersey",1000,New,28.99,USD,vjsuple-40,98.3,621,NZ,,,4.99,135,2885,Soccer-Other,19,,,
v1|176902176809|476618703054,"Las Vegas Quicksilvers - 1977 AWAY soccer jersey Replica, EUSEBIO NASL LEAGUE",1000,New,28.99,USD,vjsuple-40,98.3,621,NZ,,,4.99,127,2885,Soccer-Other,19,,,
v1|286693441114|0,Official Adidas River plate 2025/26 Jersey Away,1000,New,45.00,USD,mvjshop,100.0,4,US,,,,5,2887,Soccer-International Clubs,1,,,2025.0
v1|405985427491|676288860864,Mexico Jersey Retro 1998 Home Replica,1000,New,39.99,USD,realgood-31,96.4,51,US,,,0.0,21,2891,Soccer-National Teams,4,,Mexico,
v1|176754093349|0,ATLAS  94/95 Home- Retro - Soccer - R. MARQUEZ # 4 - XL (USA-Large) Reg Fit,1000,New,80.00,USD,athletic-store,98.6,633,US,,,0.0,201,2887,Soccer-International Clubs,13,,USA,1995.0
v1|157031603650|458534516058,JERSEY Cruz Azul Fútbol Club Home Men 2025,1000,New,28.99,USD,eithassady,99.3,777,NZ,,,7.0,46,2887,Soccer-International Clubs,14,,,2025.0
